time,magnitude,e_magnitude,band,telescope
59442.502199099865,19.0345,0.196933,sdssr,ZTF
59442.49981479999,19.2527,0.23176999999999998,sdssr,ZTF
59335.217083300005,17.8034,0.0729081,sdssg,ZTF
59329.19962960017,17.7494,0.0623302,sdssr,ZTF
59329.19962960017,17.7494,0.062329999999999997,sdssr,ZTF
59329.198680600144,17.8453,0.0698409,sdssr,ZTF
59329.198680600144,17.8453,0.069841,sdssr,ZTF
59329.16695600003,17.7787,0.05500119999999999,sdssg,ZTF
59329.16695600003,17.7787,0.055001,sdssg,ZTF
59325.19967589992,17.7738,0.0593225,sdssg,ZTF
59325.19921300002,17.7302,0.048501,sdssg,ZTF
59325.186261599876,17.8091,0.07134349999999999,sdssr,ZTF
59325.18579859985,17.7061,0.05173380000000001,sdssr,ZTF
59321.220972199924,17.680999999999997,0.0538251,sdssr,ZTF
59321.20052079996,17.7628,0.0519202,sdssr,ZTF
59321.17424769978,17.6968,0.056305999999999995,sdssg,ZTF
59321.163807900164,17.688,0.0537847,sdssg,ZTF
59319.175462999854,17.6843,0.0332695,sdssg,ZTF
59319.174988400184,17.652,0.05301,sdssg,ZTF
59316.207500000026,17.6318,0.0506405,sdssg,ZTF
59316.20702550002,17.6314,0.043324,sdssg,ZTF
59316.160474500146,17.6067,0.0531686,sdssr,ZTF
59316.16001159978,17.6828,0.0476206,sdssr,ZTF
59314.206423600204,17.6137,0.0460633,sdssg,ZTF
59314.20594910019,17.5768,0.0480635,sdssg,ZTF
59314.184826400124,17.6385,0.0488798,sdssr,ZTF
59312.20673609991,17.5584,0.0482152,sdssg,ZTF
59312.2062615999,17.5792,0.044719999999999996,sdssg,ZTF
59312.17298609996,17.5752,0.0381957,sdssr,ZTF
59312.17252309992,17.6324,0.0433816,sdssr,ZTF
59310.184780099895,17.5787,0.045408699999999996,sdssr,ZTF
59310.18431709986,17.617,0.0459843,sdssr,ZTF
59308.24712960003,17.4938,0.0420959,sdssg,ZTF
59308.18690969981,17.6029,0.046937599999999996,sdssr,ZTF
59308.186435199816,17.5295,0.0569964,sdssr,ZTF
59308.15951390006,17.4789,0.0357815,sdssg,ZTF
59306.22648150008,17.5841,0.046618099999999996,sdssr,ZTF
59306.195254600134,17.5447,0.04335069999999999,sdssr,ZTF
59306.18194440008,17.4769,0.04217340000000001,sdssg,ZTF
59306.157986099824,17.4515,0.0373704,sdssg,ZTF
59303.24274310004,17.5649,0.05203819999999999,sdssr,ZTF
59303.21842590022,17.4098,0.0461769,sdssg,ZTF
59303.196296299815,17.4227,0.0470973,sdssg,ZTF
59303.15685189982,17.4871,0.0403263,sdssr,ZTF
59301.23460649978,17.4423,0.0482337,sdssg,ZTF
59301.21501159994,17.4038,0.051222000000000004,sdssg,ZTF
59301.178449099876,17.4827,0.0342017,sdssr,ZTF
59301.17797450023,17.5726,0.0482179,sdssr,ZTF
59294.20813659997,17.4961,0.047298900000000005,sdssr,ZTF
59294.17018519994,17.3853,0.0398856,sdssg,ZTF
59292.21439810004,17.4986,0.0540178,sdssr,ZTF
59292.196874999914,17.4597,0.041250699999999994,sdssr,ZTF
59292.1741204001,17.3438,0.0435723,sdssg,ZTF
59292.17315969988,17.3657,0.0441132,sdssg,ZTF
59290.2396296002,17.4288,0.0410029,sdssr,ZTF
59290.239166699816,17.4653,0.042635,sdssr,ZTF
59290.214421300225,17.336,0.0358835,sdssg,ZTF
59290.21395830018,17.3826,0.0484603,sdssg,ZTF
59280.21146989986,17.2735,0.0269751,sdssg,ZTF
59280.21146989986,17.2735,0.026975,sdssg,ZTF
59280.210995399866,17.2979,0.049297900000000006,sdssg,ZTF
59280.210995399866,17.2979,0.049298,sdssg,ZTF
59280.15299770003,17.4566,0.0470865,sdssr,ZTF
59280.15299770003,17.4566,0.047086,sdssr,ZTF
59280.15015049977,17.3946,0.044943000000000004,sdssr,ZTF
59280.15015049977,17.3946,0.044943000000000004,sdssr,ZTF
59278.185937500086,17.4613,0.0463106,sdssr,ZTF
59276.2824074002,17.3823,0.0493913,sdssr,ZTF
59276.21123840008,17.2942,0.025278,sdssg,ZTF
59275.17210649978,17.2768,0.041473,sdssg,ZTF
59274.25609950023,17.3962,0.0673902,sdssr,ZTF
59274.16624999978,17.3245,0.0540096,sdssg,ZTF
59273.21215280006,17.4365,0.050160199999999995,sdssr,ZTF
59273.173437499914,17.2494,0.0477954,sdssg,ZTF
59272.2141435002,17.3649,0.047357300000000005,sdssr,ZTF
59272.17042820017,17.2786,0.0477788,sdssg,ZTF
59271.258333299775,17.46,0.053382900000000004,sdssr,ZTF
59271.22545140004,17.225,0.036483999999999996,sdssg,ZTF
59270.295312500086,17.3981,0.066342,sdssr,ZTF
59270.23355320003,17.2732,0.051715,sdssg,ZTF
59267.253657400135,17.2827,0.0506226,sdssg,ZTF
59267.174965300124,17.4504,0.042497599999999996,sdssr,ZTF
59266.21292820013,17.375999999999998,0.0411311,sdssr,ZTF
59266.13375000004,17.2604,0.0553295,sdssg,ZTF
59265.212002300184,17.4269,0.0426337,sdssr,ZTF
59265.18777780003,17.2978,0.041992800000000004,sdssg,ZTF
59264.28232639981,17.2657,0.037768300000000005,sdssg,ZTF
59264.19111109991,17.3888,0.0385895,sdssr,ZTF
59263.277812500026,17.2604,0.0491912,sdssg,ZTF
59263.21375000012,17.4203,0.050879,sdssr,ZTF
59262.27656249981,17.2597,0.0282803,sdssg,ZTF
59262.19192129978,17.3965,0.0429673,sdssr,ZTF
59260.24997689994,17.4099,0.039411,sdssr,ZTF
59260.19252309995,17.262,0.0473836,sdssg,ZTF
59257.214421300225,17.3625,0.0379,sdssr,ZTF
59256.29631939996,17.2106,0.049571300000000006,sdssg,ZTF
59256.213113400154,17.4258,0.0524097,sdssr,ZTF
59255.2977661998,17.427,0.0742342,sdssr,ZTF
59255.18635419988,17.2324,0.027627099999999995,sdssg,ZTF
59254.22795139997,17.2057,0.038857,sdssg,ZTF
59254.202638899915,17.4146,0.0495691,sdssr,ZTF
59253.29778939997,17.3573,0.043944,sdssr,ZTF
59253.19913189997,17.1992,0.0354659,sdssg,ZTF
59252.28718749993,17.213,0.03631740000000001,sdssg,ZTF
